short_str	full_str
СИЗОД	средства индивидуальной защиты органов дыхания
СИО	справочно-информационное обслуживание reference information service
СИС	средняя интегральная схема
СКВВП	самолет короткого взлета и вертикальной посадки
СКВП	самолет короткого взлета и посадки
СКИ	изопреновый каучук
СКЛ	солнечные космические лучи
СКМС	бутадиен(дивинил)метилстирольный каучук
СКН	бутадиен(дивинил)нитрильный каучук
СКНФ	совершенная конъюнктивная нормальная форма
СКО	среднеквадратичное отклонение
СКС	бутадиен(дивинил)стирольный каучук
СКУ	уретановый каучук
СКЭП	этилен-пропиленовый каучук
СКЭПТ	этилен-пропиленовый тройной каучук
СМ	синхронная машина
СМЖ	спинномозговая жидкость
СМИ	средства массовой информации
СМК	система массовой коммуникации
СМО	система массового обслуживания
СМПВ	судно с малой площадью ватерлинии
СН	собственные нужды
СНИПП	санитарные нормы и правила
СНО	средняя наработка на отказ
СНС	спутниковая навигационная система
СНЧ	сверхнизкая частота
СОВП	самолет с обычными характеристиками взлета и посадки
СОТР	система обеспечения теплового режима
СОЭ	скорость оседания эритроцитов
СПГ	сжиженный природный газ
СПГГ	свободнопоршневой генератор газа
СПД	свободнопоршневой двигатель
СПИД	синдром приобретенного иммунодефицита
СПК	судно на подводных крыльях
СППР	система поддержки принятия решений Decision Support System, DSS
СПС	сверхзвуковой пассажирский самолет
СРК	содорегенерационный котлоагрегат
СС	станция слежения
ССП	самосогласованного поля
ССРТ	Сибирский солнечный радиотелескоп
СТМ	сверхтвердые материалы
СТО	специальная теория относительности
СТОА	станция технического обслуживания
СТОП	Солнечный телескоп оперативных прогнозов
СТР	система терморегулирования
СТС	сверхзвуковой транспортный самолет
СФМ	спектрофотометрия
СФХ	сверхкритическая флюидная хроматография
СЦБ	сигнализация, централизация, блокировка
СЧ	серый чугун
СЭ	солнечный элемент
СЭУ	судовая энергетическая установка
Система СИД	система станок - инструмент - деталь
Ст	сталь
ТБО	твердые бытовые отходы
ТБФ	трибутилфосфат
ТВ ТСО	телевизионные технические средства охраны
ТВВД	турбовинтовентиляторный двигатель
ТВН	техника высоких напряжений
ТВС	тепловыделяющая сборка
ТВЭЛ	тепловыделяющий элемент
ТВлД	турбовентиляторный двигатель
ТГ	трудногорючее вещество
ТГА	термогравиметрический анализ
ТГФ	тетрагидрофуран
ТДС	тесная двойная система
ТЗХ	турбина заднего хода
ТК	турбокомпрессор
ТКА	транспортный космический аппарат
ТКК	транспортный космический корабль
ТКС	транспортная космическая система
ТМ	телеметрический
ТММ	термомеханическая древесная масса
ТН	трансформатор напряжения
ТНД	турбина низкого давления
ТНУ	теплонасосная установка
ТОЛП	технология и оборудование литейного производства
ТПК	территориально-производственный комплекс
ТПМ	тоннелепроходческая машина
ТПП	технологическая подготовка производства
ТРВ	терморегулирующий вентиль
ТРД	турбореактивный двигатель
ТРДД СВСД	ТРДД со сверхвысокой степенью двухконтурности
ТРДДФ	ТРДД с форсажной камерой
ТРТ	твердое ракетное топливо
ТСД	турбина среднего давления
ТСХ	тонкослойная хроматография
ТЦХМ	тетрацианохинодиметан
ТШУ	твердое шлакоудаление
ТЭ	топливный элемент
ТЭБ	топливно-энергетический баланс
ТЭД	тяговый электродвигатель
ТЭК	топливно-энергетический комплекс
ТЭН	трубчатый электронагреватель
ТЭО	транспортно-экспедиционное обслуживание
ТЭП	термоэмиссионный преобразователь
ТЭР	топливно-энергетические ресурсы
ТЭЦ	теплоэлектроцентраль
ТЭлП	ТЭлГ)
ТЯР	термоядерный реактор
ТЯЭC	термоядерная электростанция
УАТС	учрежденческая автоматическая телефонная станция
УБТ	утяжеленные бурильные трубы
УВ	углеводород
УВД	управление воздушным движением
УГ	уходящие газы
УЗИ	ультразвуковое исследование
УМГ	управление магистральными газопроводами
УМН	управление магистральными нефтепроводами
УПО	управление пожарной охраны
УР	управляемая ракета
УФ	ультрафиолетовый
УФ-	ультрафиолетовый
УЧПУ	устройство числового программного управления
ФАП	фазовая автоподстройка
ФАР	фазированная антенная решетка
ФЕС	фильтрационно-емкостные свойства
ФИАН	Физический институт им. П.Н. Лебедева РАН
ФКСЗ	Фундаментальный каталог слабых звезд
ФМ	фазовая модуляция
ФНО	фактор некроза опухоли
ФРН	фактор роста нервов
ФСУ	фазосмещающее устройство
ФЭ	фотоэлемент
ФЭЛ	фотоэлектрический элемент
ФЭС	фотоэлектронная спектроскопия
ФЭУ	фотоэлектронный умножитель
Фемто-ЛАСИК	лазерный интрастромальный фемтокератомилез, фемто-лазерная коррекция зрения
ХГ	хлоргидрат
ХИ	холодильник-излучатель
ХИТ	химический источник тока
ХМС	хроматомасс-спектрометрия
ХПК	химическое потребление кислорода
ХПЯ	химическая поляризация ядер
ХТММ	химико-термомеханическая масса
ХТС	химикотехнологические системы
ХФ	Хартри-Фока
ЦАП	цифроаналоговый преобразователь
ЦБЗ	цементобетонный завод
ЦБК	целлюлозно-бумажный комбинат
ЦБП	целлюлозно-бумажная промышленность
ЦБС	централизованная библиотечная система centralized library system
ЦВА	циклическая вольтамперометрия
ЦВД	цилиндр высокого давления
ЦВДС	совмещенные цилиндры высокого и среднего давления
ЦВМ	цифровая вычислительная машина
ЦГ	циклогексан
ЦДС	Центральная диспетчерская служба
ЦКС	циркулирующий кипящий слой
ЦЛ	целлюлоза
ЦММ	цифровая модель местности
ЦМР	цифровая модель рельефа
ЦНД	цилиндр низкого давления
ЦНИИГАиК	Центральный научно-исследовательский институт геодезии, аэросъемки и картографии им. Ф.Н. Красовского
ЦНС	центральная нервная система
ЦНТИ	центр научно-технической информации Scientific and Technical Information Centre
ЦП	центральный процессор
ЦПМ	цифровая печатная машина
ЦСД	цилиндр среднего давления
ЦСТОР	централизованная система технического обслуживания и ремонта
ЦУП	центр управления полетом
ЦЧ	цетановое число
ЧМ	частотная модуляция
ЧМТ	черепно-мозговая травма
ЧПУ	числовое программное управление
ЧС	чрезвычайная ситуация
ШАЛ	широкие атмосферные ливни
ШИМ	широтно-импульсная модуляция
ШО	шиффово основание
ЩОМ	щебнеочистительная машина
ЭГД	электрогидродинамический
ЭДС	электродвижущая сила
ЭДТА	этилендиаминтетрауксусная кислота
ЭЗС	электрозарядные станции
ЭИ	экспресс-информация Express Information
ЭИМ	электроизоляционный материал
ЭК	энергокомпания
ЭКоГ	электрокортикография
ЭЛТ	электронно-лучевая трубка
ЭМ	электронный микроскоп, электронная микроскопия
ЭМГ	электромиография
ЭО	экологическое образование
ЭОП	электронно-оптический преобразователь
ЭП	электропривод
ЭПР	электронный парамагнитный резонанс
ЭПС	электроподвижной состав
ЭСП	электронные спектры поглощения
ЭУ	энергетическая установка
ЭХГ	электрохимический генератор
ЭХЗ	электрохимическая защита
ЭХО	электрохимическая обработка
ЭЦ	электрическая централизация
ЭЦВМ	электронная цифровая вычислительная машина
ЭЭ	этиловый эфир
ЭЭС	электроэнергетическая система
ЭЯДР	электронно-ядерный двойной резонанс
Ю.	юг
Ю.-В.	Юго-Восток
Ю.-З.	Юго-Запад
ЯГР	ядерный гамма-резонанс
ЯКР	ядерный квадрупольный резонанс
ЯОД	язык описания данных
ЯР	ядерный реактор
ЯТ	ядерное топливо
ЯЭО	ядерный эффект Оверхаузера
а. е.	астрономическая единица
абс.	абсолютный
адм.	административный
арх.	архипелаг
ас-	аттосекундный
бельг. фр.	бельгийский франк
библ.	библиография, библиографический
биол.	биологический
биофиз.	биофизический
биохим.	биохимический
бух.	бухта
в т. ч.	в том числе
в-во	вещество
в. д.	восточная долгота
в. ц.	высота центров
в.д.	высокое давление
в.м.т.	внутренняя
в.р.в.	валовая регистровая вместимость
в/а	внутриартериально
в/б	внутрибрюшинно
в/в	внутривенно
в/ж	внутрижелудочково
в/к	внутрикожно
в/м	внутримышечно
в/с	внутрисердечно
вариац.	вариационный
вдхр.	водохранилище
волн.	волновой
вост.	восточный
вуз	высшее учебное заведение
г.	город
геогр.	географический
геол.	геологический
геоморфол.	геоморфологический
геофиз.	геофизический
гидрогеол.	гидрогеологический
гл.	глава
гл. обр.	главным образом
гос.	государственный
гп.	грузоподъемность
гравитац.	гравитационный
давл.	давление
дам-	декаметровый
двт	дедвейт
диам.	диаметр
диффер.	дифференциальный
дкм-	декаметровый
дм-	дециметровый
др.	другой, другие
ед.	единица
ед. SNU	единица солнечного потока нейтрино
емк.	емкость
ж. д.	железная дорога, железнодорожный
ж.-б.	железобетонный
з-д	завод
з-к	заповедник
з. д.	западная долгота
з.х.	задний ход
зал.	залив
зап.	западный
зоол.	зоологический
и пр.	и прочие
и т. д.	и так далее
ил.	иллюстрация
интегр.	интегральный
ихтиол.	ихтиологический
к-р	конденсатор
к. з.	короткое замыкание
к.з.	короткое замыкание
кан.	канал
картогр.	картографический
качеств.	качественный
кв.	квадратный
когер.	когерентный
кол-во	количество
количеств.	количественный
конф.	конференция
конфигурац.	конфигурационный
конц-ия	концентрация
коэф.	коэффициент
кпд	коэффициент полезного действия
кр	крейсерская
кр/м	кручений на 1 м
куб.	кубический
м-	метровый
м.	масштаб
м. кр.	максимальный крейсерский
м. п.	максимальный продолжительный
магн.	магнитный
макс.	максимальный
максим.	максимальный
мас.%	процент по массе
мас.ч.	массовая часть
масс. ч.	часть по массе
матем.	математический
мед.	медицинский
мед.-геогр.	медико-географический
мес.	месяц
метеорол.	метеорологический
метод наим. кв.	метод наименьших квадратов
методол.	методологический
мех.	механический
мин.	минимальный
миним.	минимальный
млн	миллион
млн. д.	миллионных долей
млрд	миллиард
мм-	миллиметровый
мм.	масштабы
мод.	модель
мол. в.	молекулярный вес
мол. м.	молекулярная масса
мол. масса	молекулярная масса
мол.в.	молекулярный вес
морфол.	морфологический
мощн.	мощность
н.-и.	научно-исследовательский
н.д.	низкое давление
н.м.т.	наружная
надотр.	надотряд
надсем.	надсемейство
напр.	например
науч.	научный
науч.-техн.	научно-технический
нац.	национальный
неорг.	неорганический
нефт.	нефтяной
нс-	наносекундный
о-ва	острова
о.	остров
об-во	общество
об.%	процент по объему
обл.	область
оз.	озеро
ок.	около
оптим.	оптимальный
орган.	органический
относит.	относительный
отр.	отряд
отрицат.	отрицательный
отт./ч	оттиск/час
охл.	охлаждающий, охлаждаемый
п-ов	полуостров
п. в.	почти всюду
п. н.	почти наверное
п. п. функция	почти периодическая функция
п.к.в.	поворот коленчатого вала
п/к	подкожно
п/о	перорально
парал.	параллельный
парц.	парциальный
пат.	патент
пл.	плотность
подкл.	подкласс
подотр.	подотряд
подсем.	подсемейство
пож.	пожарный
потенц.	потенциальный
пр.	пролив
пред.	предельный
преф.	префектура
прив.	приведенный
прим.	применение
пров.	провинция
пс-	пикосекундный
р-р	раствор
р-ция	реакция
р. м. ц.	расстояние между центрами
рРНК	рибосомная РНК
расч.	расчетный
рег. т.	регистровые тонны
рег.т.	регистровые тонны
релятив.	релятивистский
рис.	рисунок
с. в.	случайная величина
с. х.	сельское хозяйство, сельскохозяйственный
с.ш.	северная широта
св-во	свойство
сев.	северный
сем.	семейство
скв.	скважина
см-	сантиметровый
см.	смотри
соц.-экон.	социально-экономический
спец.	специальный
ср. кв.	средняя квадратическая
ст.	станция
стр-во	строительство
стр.	страница
субмм-	субмиллиметровый
т-р	трансформатор
т-ра	температура
т-рный	температурный
т. абс.	температура абсолютная
т. возг.	температура возгонки
т. воспл.	температура воспламенения
т. всп.	температура вспышки
т. е.	то есть
т. зам.	температура замерзания
т. заст.	температура застывания
т. исп.	температура испарения
т. к.	так как
т. кип.	температура кипения
т. конд.	температура конденсации
т. крит.	температура критическая
т. н.	так называемый
т. обр.	таким образом
т. отв.	температура отверждения
т. пл.	температура плавления
т. разл.	температура разложения
т. стекл.	температура стеклования
тРНК	транспортная РНК
табл.	таблица
тыс.	тысяча
у.т.	условное топливо
уд. в.	удельный вес
ур-ние	уравнение
ур. моря	уровень моря
ф-ла	формула
ф-т	факультет
ф. ст.	фунт стерлингов
физ.	физический
физ.-биол.	физико-биологический
физ.-геогр.	физико-географический
физ.-мат.	физико-математический
физ.-техн.	физико-технический
физ.-хим.	физико-химический
фин.г.	финансовый год
фр.	франк
фс-	фемтосекундный
х-ка	характеристика
х.	холодная
х. в.	химические волокна
х. х .	холостой ход
х. х.	холостой ход
х. ч.	химически чистый
х.-б.	хлопчатобумажный
х.-пр.	хлопкопрядильный
х.-тк.	хлопкоткацкий
хим.	химический
хоз-во	хозяйство
хоз.	хозяйственный
хр.	хребет
ц.м.	центр масс
ч.р.в.	чистая регистровая вместимость
швейц. фр.	швейцарский франк
э.д.с.	электродвижущая сила
эквив.	эквивалентный
экз.	экземпляр
экол.	экологический
экон.	экономический
экон.-геогр.	экономико-географический
экспоненц.	экспоненциальный
эл.	электрический
эпидемиол.	эпидемиологический
эф.	эффективный
ю. ш.	южная широта
юж.	южный
