№,TP,FP,TN,FN
55.33,26,20,165874,263
55.37,173,224,165599,187
55.39,918,2802,161483,980
55.41,340,528,165200,115
55.42,551,766,164664,202
55.43,703,784,164585,111
55.45,448,321,165316,98
55.47,618,739,164701,125
55.49,500,492,165015,176
55.51,193,239,165623,128
55.53,198,301,165485,199
55.57,425,354,165270,134
55.63,246,663,165160,114
60.29,911,612,164519,141
61.01,295,644,163436,1808
61.13,56,97,165624,406
61.31,160,608,164433,982
61.35,1582,1430,162586,585
61.37,61,129,165504,489
61.41,73,30,165865,215
61.45,977,1369,163545,292
61.49,141,174,165630,238
61.51,662,852,164173,496
61.53,801,585,164344,453
61.57,296,417,165200,270
61.61,1337,3177,161071,598
61.65,32,19,165997,135
62.01,19,83,165683,398
62.13,28,55,165971,129
62.37,0,0,165969,214
62.61,8,13,166006,156
62.99,87,92,165806,198
64.29,664,816,164631,72
65.01,225,294,165595,69
65.33,184,134,165860,5
65.59,264,312,165585,22
65.63,251,487,165430,15
67.25,124,115,165859,85
68.01,251,157,165752,23
68.03,142,281,165058,702
68.05,260,361,165516,46
68.35,719,818,164536,110
68.37,375,830,164780,198
68.47,300,167,165610,106
70.17,0,0,165962,221
70.25,1116,944,163652,471
70.27,100,204,165371,508
73.01,172,96,165876,39
73.29,1493,1095,163185,410
73.31,1851,2055,161818,459
73.34,468,491,165117,107
73.37,460,484,165149,90
73.39,715,466,164852,150
73.41,454,454,165084,191
73.43,567,596,164923,97
73.47,347,936,164670,230
75.31,27,49,165877,230
76.03,744,1105,163637,697
76.29,1311,2532,162075,265
76.31,707,1083,164211,182
76.33,37,15,165986,145
76.35,193,47,165867,76
81.33,2773,4741,157626,1043
81.35,1192,1428,162895,668
81.79,311,194,165667,11
81.92,540,186,165374,83
81.93,372,536,165005,270
82.13,192,187,165789,15
82.15,959,1081,164078,65
82.17,163,290,165721,9
87.01,133,158,165500,392
87.03,2713,3779,157596,2095
87.15,0,0,165818,365
87.17,134,254,165642,153
87.19,1118,1422,163263,380
87.21,382,500,165193,108
87.25,175,448,165108,452
87.26,35,76,165732,340
87.31,120,103,165909,51
87.33,120,217,165490,356
87.51,2,1,165945,235
87.53,4597,3818,156433,1335
89.01,66,64,165930,123
89.15,169,127,165697,190
89.17,108,48,165877,150
89.23,79,24,165941,139
89.25,582,489,164961,151
89.29,424,282,165420,57
89.51,1036,1193,163638,316
89.53,109,69,165887,118
89.57,2103,2002,161472,606
90.01,37,58,165864,224
90.27,581,1826,163208,568
